4.0767 	EXP 	KidFlanker: status = NOT_STARTED
4.0776 	INFO 	Loaded monitor calibration from ['2024_10_21 13:15']
4.0801 	INFO 	Loaded monitor calibration from ['2024_10_21 13:15']
4.0822 	WARNING 	Requested an unavailable screen number - using first available.
4.0839 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1200]. Using actual size
4.7900 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002625D43AD60>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002625D43AD00>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002625D43AB50>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002625D62F1C0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=1, size=array([1920, 1200]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.7900 	EXP 	window1: backgroundImage = None
4.7900 	EXP 	window1: backgroundFit = 'cover'
4.7901 	EXP 	window1: mouseVisible = False
4.7909 	EXP 	Preloaded image images/rrlrr.png
4.7914 	EXP 	Preloaded image images/llrll.png
4.7919 	EXP 	Preloaded image images/lllll.png
4.7923 	EXP 	Preloaded image images/rrrrr.png
4.7927 	EXP 	Created sequence: sequential, trialTypes=5, nReps=1, seed=None
5.0130 	EXP 	Created sequence: sequential, trialTypes=20, nReps=1, seed=None
5.0138 	EXP 	Created sequence: sequential, trialTypes=20, nReps=1, seed=None
5.0146 	EXP 	Created sequence: sequential, trialTypes=20, nReps=1, seed=None
5.0151 	EXP 	window1: mouseVisible = False
5.0176 	EXP 	Created trial_image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='trial_image', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
5.0176 	EXP 	window1: mouseVisible = False
